Addam,Lannister
Adrack Humble,Greyjoy
Aemon,Targaryen
Aeron,Greyjoy
Alanna,Commoner
Alliser Thorne,Night's Watch
Allister,Night's Watch
Alton,Greyjoy
Alys,Arryn
Amory,Lannister
Anguy,Brotherhood
Anya Waynwood,Waynwood
Areo,Martell
Arthur,Kingsguard
Arthur (child),Commoner
Assassin,Commoner
Axell Florent,Florent
Baby,Commoner
Balon Dwarf,Greyjoy
Barra,Baratheon
Barristan,Kingsguard 
Belicho,Volantis
Beric,Brotherhood
Bert,Baratheon
Bianca,Commoner
Billy,Commoner
Black Jack,Night's Watch
Black Lorren,Greyjoy
Bobono,Braavos
Bolton Guard,Bolton
Borcas,Night's Watch
Brand,Stark
Brian,Commoner
Camello,Braavos
Captain's Daughter,Greyjoy
Cersei's Baby,Lannister
Cerwyn,Stark
Citadel Maester,Citadel
Clarenzo,Braavos
Cohollo,Dothraki
Colen,Baratheon
Cooper,Night's Watch
Crayah,Commoner
Cressen,Baratheon
Daario,Second Sons
Dagmer,Greyjoy
Daisy,Commoner
Denys,Mallister
Derryk,Commoner
Desmond,Crakehall
Dickon,Tarly
Dim Dalba,Wildling
Dirah,Commoner
Dom,Commoner
Dongo the Giant,Wildling
Donnel Hill,Night's Watch
Donnel Waynwood,Arryn
Doran,Martel
Dorne Maester,Martell
Dornish Lord,Martell
Dornish Prince,Martell
Dornish Rider,Martell
Dosh Khaleen Leader,Dothraki
Drowned Priest,Greyjoy
Dying Man,Commoner
Edmure,Tully
Edmure's Son,Tully
Eldrick,Lannister
Elia,Martell
Ellaria,Sand
Endrew,Night's Watch
Euron,Greyjoy
Falyse,Stokeworth
Farlen,Commoner
Farmer,Commonser
Father Seaworth,Seaworth
Fennesz,Meereen
First Mate,Greyjoy
Flynn,Baratheon
Fool,Commoner
Frey Daughter,Frey
Frey Septon,Fret
Galbart,Stark
Gared,Night's Watch
Gatins,Brotherhood
Gendry,Baratheon
Gerard,Targaryen
Glover,Stark
Goatherd,Meereen
Goatherd's Son,Meereen
Greatjon,Stark
Gregor,Lannister
Greizhen,Astapor
Grenn,Night's Watch
Guard Captain,Commoner
Guymon,Commoner
Hamlet Farmer,Commoner
Harald,Bolton
Harrag,Greyjoy
Harren,Greyjoy
Harry,Golden Company
Haylene,Commoner
High Septon,Church7
High Septon (Aerys),Targaryen
High Sparrow,Church7
Hizdahr,Meereen
Hizdahr's Father,Meereen
Hobb,Night's Watch
Hugh of the Vale,Arryn
Illyrio,Targaryen
Innkeeper,Commoner
Innkeeper's Daughter,Commoner
Irogenia,Commoner
Ironborn Lord,Greyjoy
Izembaro,Braavos
Jacks,Stark
Janos,Lannister
Jaqen,Braavos
Jaremy,Night's Watch
Jeor,Night's Watch
Jhiqui,Dothraki
Joffrey Dwarf,Commoner
Jonos,Tully
Jory,Stark
Karsi,Wildling
Kegs,Night's Watch
Kevan,Lannister
Khal Moro,Dothraki
Kinvara,R'hllor
Kovarro,Dothraki
Lady Crane,Braavos
Lancel,Lannister
Lem,Brotherhood
Leo,Lannister
