Id,Label,house
ADDAM_MARBRAND,Addam,Lannister
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALLISER_THORNE,Allister,Night's Watch
ARYA,Arya,Stark
ASSASSIN,Assassin,Commoner
BAELOR,Baelor,Targarien
BALON,Balon,Dragon
BARRISTAN,Barristan,Kingsguard
BENJEN,Benjen,Stark
BERIC,Beric,Brotherhood
BORCAS,Borcas,Night's Watch
BOWEN_MARSH,Bowen,Frey
BRAN,Bran,Stark
BRANDON_STARK,Brandon,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
COHOLLO,Cohollo,Dothraki
DAENERYS,Daenerys,Targaryen
DAREON,Dareon,Night's Watch
DOREAH,Doreah,Targaryen
DROGO,Drogo,Dothraki
GALBART_GLOVER,Galbart,Stark
GARED,Gared,Night's Watch
GENDRY,Gendry,Baratheon
GREATJON_UMBER,Greatjon,Stark
GRENN,Grenn,Night's Watch
HIGH_SEPTON,High Septon,Church7
HODOR,Hodor,Stark
HOSTER,Hoster,Tully
HOT_PIE,Hot Pie,Commoner
HOUND,Sandor,Brotherhood
HUGH_OF_THE_VALE,Hugh of the Vale,Arryn
ILLYRIO,Illyrio,Targaryen
ILYN_PAYNE,Ilyn,Lannister
IROGENIA,Irogenia,Commoner
IRRI,Irri,Dothraki
JAIME,Jaime,Lannister
JANOS,Janos,Lannister
JAREMY_RYKKER,Jaremy,Night's Watch
JEOR,Jeor,Night's Watch
JHIQUI,Jhiqui,Dothraki
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Lannnister
JON,Jon,Snow
JON_ARRYN,Jon Arryn,Arryn
JONOS_BRACKEN,Jonos,Tully
JORAH,Jorah,Mormont
JORY_CASSEL,Jory,Stark
JOYEUSE,Joyeuse,Frey
KEVAN,Kevan,Lannister
LANCEL,Lancel,Lannister
LEO_LEFFORD,Leo,Lannister
LITTLE_BIRD,Little Bird,Lannister
LITTLEFINGER,Petyr,Baelish
LOMMY_GREENHANDS,Lommy,Night's Watch
LORAS,Loras,Tyrell
LUKE,Luke,Commoner
LYANNA,Lyanna,Stark
LYSA,Lysa,Arryn
MACE,Mac,Commoner
MAESTER_AEMON,Aemon,Targaryen
MAESTER_LUWIN,Luwin,Stark
MAGO,Mago,Dothraki
MARILLION,Marillion,Commoner
MASHA_HEDDLE,Masha,Commoner
MELESSA,Melessa,Tarly
MERYN_TRANT,Meryn,Kingsguard
MHAEGEN,Mhaegen,Commoner
MIRRI_MAZ_DUUR,Mirri Maz Dur,Dothraki
MORD,Mord,Arryn
MOUNTAIN,Gregor,Lannister
MYCAH,Mycah,Umber
MYRCELLA,Myrcella,Lannister
NED,Ned,Stark
OLD_NAN,Old Nan,Stark
OSHA,Osha,Wildlings
OTHELL_YARWYCK,Othell,Night's Watch
OTHOR,Othor,Night's Watch
PYCELLE,Pycelle,Lannister
PYP,Pyp,Night's Watch
QOTHO,Qotho,Dothraki
RAKHARO,Rakharo,Dothraki
RANDYLL,Randyll,Tarly
RAST,Rast,Night's Watch
RENLY,Renly,Baratheon
RHAEGAR,Rhaegar,Targaryen
RHAEGO,Rhaego,Targaryen
RICKARD_KARSTARK,Rickard Karstark,Stark
RICKARD_STARK,Rickard Stark,Stark
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
RODRIK,Rodrik,Stark
ROOSE_BOLTON,Roose,Bolton
ROS,Ros,Commoners
ROYCE,Royce,Bolton
RYGER_RIVERS,Ryger,Rivers
SAM,Sam,Tarly
SANSA,Sansa,Stark
SEPTA_MORDANE,Septa Mordane,Church7
SHAE,Shae,Lannister
SHAGGA,Shagga,Lannister
STABLE_BOY,Stable Boy,Commoner
STANNIS,Stannis,Baratheon
STEFFON,Steffon,Baratheon
STEVRON_FREY,Stevron,Frey
SYRIO_FOREL,Syrio,Stark
THEON,Theon,Greyjoy
TOBHO_MOTT,Tobho Mott,Commoner
TOMARD,Tomard,Baratheon
TOMMEN,Tommen,Lannister
TYRION,Tyrion,Lannister
TYSHA,Tysha,Commoner
TYWIN,Tywin,Lannister
VARDIS_EGEN,Vardis,Arryn
VARLY,Varly,Stark
VARYS,Varys,Lannister
VISERYS,Viserys,Targaryen
WALDER,Walder,Frey
WAYMAR_ROYCE,Waymar,Night's Watch
WILL,Will,Night's Watch
WINE_MERCHANT,Wine Merchant,Commoner
YOREN,Yoren,Night's Watch
