Alternative dance,Electroclash
Alternative hip hop,Jazz rap
Alternative metal,Funk metal
Alternative metal,Nu metal
Alternative rock,Britpop
Alternative rock,College rock
Alternative rock,Dream pop
Alternative rock,Grunge
Alternative rock,Indie pop
Alternative rock,Indie rock
Alternative rock,Jangle pop
Alternative rock,Math rock
Alternative rock,Neo-psychedelia
Alternative rock,Noise pop
Alternative rock,Noise rock
Alternative rock,Paisley Underground
Alternative rock,Post-Britpop
Alternative rock,Post-grunge
Alternative rock,Post-rock
Alternative rock,Shoegazing
Ambient music,Dark ambient
Arabic pop music,Al Jeel
Arabic pop music,Contemporary R&B
Bachata (music),Bachat%C3%B3n
Balkan pop,Chalga
Beat music,Freakbeat
Bebop,Hard bop
Bebop,Jazz
Black metal,Black metal
Black metal,Symphonic black metal
Black metal,Viking metal
Bluegrass music,Progressive bluegrass
Blues,Boogie-woogie
Blues,Classic female blues
Blues,Country blues
Blues,Delta blues
Blues,Electric blues
Blues,Fife and drum blues
Blues,Jump blues
Blues,Piano blues
Boogie (genre),Electro (music)
Bossa nova,Tropic%C3%A1lia
Brazilian rock,Brazilian thrash metal
Breakbeat,Big beat
Breakbeat,Breakbeat
Breakbeat,Breakcore
Breakbeat,Broken beat
Breakbeat,Hardcore breaks
Breakbeat,Nu skool breaks
Breakbeat,Nu-funk
Breakbeat,Progressive house music
Breakcore,Breakcore
British hip hop,Oldschool jungle
Britpop,New wave of new wave
Calypso music,Oratorical calypso
Celtic fusion,Celtic electronica
Celtic fusion,Celtic fusion
Celtic fusion,Celtic metal
Celtic fusion,Celtic new age
Celtic fusion,Celtic punk
Celtic fusion,Celtic rock
Chicago blues,Electric blues
Chiptune,Bitpop
Christian country music,Bluegrass music
Christian punk,Christian hardcore
Christian rock,Christian metal
Comedy music,Novelty song
Comedy music,Parody music
Contemporary Christian music,Christian hip hop
Contemporary Christian music,Christian rock
Contemporary Christian music,Contemporary worship music
Contemporary R&B,Quiet storm
Country blues,Delta blues
Country blues,Louisiana blues
Country blues,Piedmont blues
Country music,Bakersfield sound
Crossover thrash,Youth crew
Crunk,Snap music
Cuban Rumba,Guaguanc%C3%B3
Cumbia,Cumbia villera
Cumbia,Mexican cumbia
Cumbia,Peruvian cumbia
Cumbia,Tecnocumbia
Dancehall,Ragga
Dark wave,Coldwave
Dark wave,Ethereal wave
Dark wave,Neoclassical dark wave
Darkcore,Hardstep
Death metal,Melodic death metal
Death metal,Technical death metal
Desi Hip Hop,Burban
Desi Hip Hop,Music of India
Desi Hip Hop,Pakistani hip hop
Digital hardcore,Cyberpunk
Disco,Italo disco
Doom metal,Doom metal
Drum and bass,Darkstep
Dub (music),Afro-dub
Dub (music),Dub poetry
Electric folk,Medieval folk rock
Electronica,Indietronica
Emo,Screamo
Euro disco,Space disco
Experimental hip hop,Rapping
Experimental rock,Zeuhl
Extreme metal,Black metal
Extreme metal,Doom metal
Extreme metal,Drone metal
Extreme metal,Melodic death metal
Extreme metal,Pagan metal
Extreme metal,Stoner rock
Extreme metal,Symphonic black metal
Extreme metal,Technical death metal
Extreme metal,Viking metal
Flamenco,New Flamenco
Folk metal,Celtic metal
Folk rock,Celtic rock
French house,Nu-disco
French house,Styles of house music
Funk carioca,Proibid%C3%A3o
Funk rock,Funk metal
Funk,Go-go
Garage rock,Acid rock
Glitch (music),Microhouse
Gospel music,Southern Gospel
Gospel music,Urban contemporary gospel
Gothic metal,Gothic metal
Gothic metal,Symphonic metal
Grindcore,Goregrind
Grindcore,Pornogrind
Happy hardcore,UK hardcore
Hardcore punk,Christian hardcore
Hardcore punk,D-beat
Hardcore punk,Emo
Hardcore punk,Melodic hardcore
Hardcore punk,Powerviolence
Hardcore punk,Skate punk
Hardcore punk,Thrashcore
Hardcore techno,Breakbeat hardcore
Hardcore techno,Breakcore
Hardcore techno,Digital hardcore
Hardcore techno,Early hardcore
Hardcore techno,Happy hardcore
Hardcore techno,Hardcore breaks
Hardcore techno,M%C3%A1kina
Hardcore techno,Mainstream hardcore
Hardcore techno,Power noise
Hardcore techno,Speedcore
Hardcore techno,Terrorcore
Hardcore techno,UK hardcore
Heavy metal music,Black metal
Hip hop music,Alternative hip hop
Hip house,Chicago house
House music,Acid house
Indie pop,C86 (album)
Indie rock,Baroque pop
Indie rock,C86 (album)
Indie rock,Dance-punk
Indie rock,Dream pop
Indie rock,Indie pop
Indie rock,Jangle pop
Indie rock,Lo-fi music
Indie rock,Math rock
Indie rock,Noise pop
Indie rock,Noise rock
Indie rock,Post-punk revival
Indie rock,Post-rock
Indie rock,Sadcore
Industrial dance,Electro-industrial
Industrial dance,Electronic body music
Instrumental rock,Post-rock
Instrumental rock,Surf music
